GENERAL$,
10.94,0.01495
10.95,0.015
10.96,0.0152
10.97,0.01553
10.98,0.01599
10.99,0.01658
11,0.01731
11.01,0.01819
11.02,0.01922
11.03,0.02042
11.04,0.02182
11.05,0.02346
11.06,0.02537
11.07,0.02759
11.08,0.03021
11.09,0.0333
11.1,0.03698
11.11,0.04139
11.12,0.04667
11.13,0.05323
11.14,0.0614
11.15,0.07173
11.16,0.08506
11.17,0.10265
11.18,0.12654
11.19,0.16009
11.2,0.20961
11.21,0.29165
11.22,0.47227
11.23,0.9895
11.24,2.30866
11.25,4.54557
11.26,6.27493
11.27,5.74775
11.28,4.68106
11.29,3.72917
11.3,2.31549
11.31,1.14348
11.32,0.5359
11.33,0.29919
11.34,0.20449
11.35,0.15389
11.36,0.12084
11.37,0.09753
11.38,0.08045
11.39,0.06756
11.4,0.05759
11.41,0.04973
11.42,0.04342
11.43,0.03829
11.44,0.03406
11.45,0.03055
11.46,0.02759
11.47,0.02509
11.48,0.02297
11.49,0.02116
11.5,0.01961
11.51,0.01828
11.52,0.01715
11.53,0.01619
11.54,0.01539
11.55,0.01473
11.56,0.01421
11.57,0.01383
11.58,0.0136
11.59,0.01352
11.6,0.01363
11.61,0.01395
11.62,0.01455
11.63,0.01553
11.64,0.01702
11.65,0.0193
11.66,0.02282
11.67,0.02875
11.68,0.04153
11.69,0.07767
11.7,0.17263
11.71,0.3441
11.72,0.49796
11.73,0.47277
11.74,0.3826
11.75,0.31936
11.76,0.21747
11.77,0.11521
11.78,0.05575
11.79,0.03108
11.8,0.02146
11.81,0.01663
11.82,0.01354
11.83,0.01137
11.84,0.00976
11.85,0.00854
11.86,0.00758
11.87,0.00681
11.88,0.00618
11.89,0.00566
11.9,0.00522
11.91,0.00484
11.92,0.00452
11.93,0.00424
11.94,0.00399
11.95,0.00377
11.96,0.00358
11.97,0.0034
11.98,0.00325
11.99,0.0031
12,0.00298
12.01,0.00286
12.02,0.00275
12.03,0.00265
12.04,0.00256
12.05,0.00248
12.06,0.0024
12.07,0.00233
12.08,0.00227
12.09,0.00221
12.1,0.00215
12.11,0.0021
12.12,0.00205
12.13,0.002
12.14,0.00196
12.15,0.00193
12.16,0.0019
12.17,0.00187
12.18,0.00184
12.19,0.00182
12.2,0.00179
12.21,0.00177
12.22,0.00176
12.23,0.00174
12.24,0.00166
12.25,0.00165
12.26,0.00164
12.27,0.00164
12.28,0.00163
12.29,0.00164
12.3,0.00164
12.31,0.00172
12.32,0.00173
12.33,0.00175
12.34,0.00177
12.35,0.0018
12.36,0.00183
12.37,0.00188
12.38,0.00193
12.39,0.00198
12.4,0.00205
12.41,0.00214
12.42,0.00224
12.43,0.00242
12.44,0.00256
12.45,0.00274
12.46,0.00295
12.47,0.00328
12.48,0.00361
12.49,0.00403
12.5,0.00458
12.51,0.00532
12.52,0.00633
12.53,0.00779
12.54,0.01006
12.55,0.01438
12.56,0.02566
12.57,0.05601
12.58,0.11709
12.59,0.18722
12.6,0.19581
12.61,0.15656
12.62,0.13367
12.63,0.10752
12.64,0.06511
12.65,0.03282
12.66,0.01704
12.67,0.01093
12.68,0.00832
12.69,0.00687
12.7,0.00592
12.71,0.00526
12.72,0.00476
12.73,0.00444
12.74,0.00423
12.75,0.00406
12.76,0.00399
12.77,0.00397
12.78,0.00399
12.79,0.00406
12.8,0.00417
12.81,0.00433
12.82,0.00454
12.83,0.0048
12.84,0.00512
12.85,0.00552
12.86,0.00602
12.87,0.00663
12.88,0.00738
12.89,0.00834
12.9,0.00955
12.91,0.01113
12.92,0.01322
12.93,0.01612
12.94,0.02014
12.95,0.02612
12.96,0.03625
12.97,0.05906
12.98,0.12214
12.99,0.27199
13,0.50623
13.01,0.65375
13.02,0.56145
13.03,0.45055
13.04,0.39902
13.05,0.28811
13.06,0.15759
13.07,0.07625
13.08,0.04088
13.09,0.02702
13.1,0.02029
13.11,0.01612
13.12,0.01323
13.13,0.01115
13.14,0.00959
13.15,0.00841
13.16,0.00742
13.17,0.00669
13.18,0.00612
13.19,0.00566
13.2,0.00529
13.21,0.00499
13.22,0.00476
13.23,0.00458
13.24,0.00445
13.25,0.00436
13.26,0.00435
13.27,0.00434
13.28,0.00438
13.29,0.00449
13.3,0.00463
13.31,0.00484
13.32,0.00515
13.33,0.00558
13.34,0.00621
13.35,0.00713
13.36,0.00865
13.37,0.01182
13.38,0.02034
13.39,0.04161
13.4,0.07852
13.41,0.10976
13.42,0.10081
13.43,0.0795
13.44,0.07131
13.45,0.05818
13.46,0.03616
13.47,0.01993
13.48,0.0122
13.49,0.00927
13.5,0.00808
13.51,0.00749
13.52,0.00719
13.53,0.00707
13.54,0.00708
13.55,0.0072
13.56,0.00741
13.57,0.0077
13.58,0.00808
13.59,0.00855
13.6,0.00911
13.61,0.0098
13.62,0.01059
13.63,0.01154
13.64,0.01269
13.65,0.01406
13.66,0.01571
13.67,0.01774
13.68,0.02027
13.69,0.02344
13.7,0.02751
13.71,0.03286
13.72,0.04005
13.73,0.05007
13.74,0.06468
13.75,0.08818
13.76,0.13623
13.77,0.26367
13.78,0.58446
13.79,1.15618
13.8,1.67485
13.81,1.56395
13.82,1.20495
13.83,1.07098
13.84,0.91239
13.85,0.57124
13.86,0.28954
13.87,0.14485
13.88,0.08677
13.89,0.06193
13.9,0.04806
13.91,0.0389
13.92,0.03244
13.93,0.02774
13.94,0.02424
13.95,0.02163
13.96,0.01965
13.97,0.01816
13.98,0.01707
13.99,0.01631
14,0.01584
14.01,0.01563
14.02,0.01569
14.03,0.01601
14.04,0.01662
14.05,0.01751
14.06,0.01886
14.07,0.02073
14.08,0.02328
14.09,0.02674
14.1,0.03157
14.11,0.03843
14.12,0.04857
14.13,0.06501
14.14,0.09869
14.15,0.18757
14.16,0.41024
14.17,0.80705
14.18,1.16981
14.19,1.09229
14.2,0.833
14.21,0.74008
14.22,0.6553
14.23,0.42668
14.24,0.22115
14.25,0.11048
14.26,0.06503
14.27,0.04587
14.28,0.03544
14.29,0.02857
14.3,0.02372
14.31,0.02017
14.32,0.01751
14.33,0.01547
14.34,0.01389
14.35,0.01267
14.36,0.01172
14.37,0.011
14.38,0.01048
14.39,0.01013
14.4,0.00994
14.41,0.00991
14.42,0.01011
14.43,0.01045
14.44,0.01103
14.45,0.0119
