GENERAL$,
16.05,0.01094
16.06,0.01058
16.07,0.01046
16.08,0.01059
16.09,0.01096
16.1,0.01162
16.11,0.01264
16.12,0.01411
16.13,0.01621
16.14,0.01923
16.15,0.02367
16.16,0.03066
16.17,0.04374
16.18,0.07533
16.19,0.15532
16.2,0.31345
16.21,0.50406
16.22,0.53719
16.23,0.4017
16.24,0.31529
16.25,0.31803
16.26,0.28614
16.27,0.18352
16.28,0.09631
16.29,0.05016
16.3,0.03076
16.31,0.02215
16.32,0.01726
16.33,0.01401
16.34,0.01168
16.35,0.00997
16.36,0.00866
16.37,0.00765
16.38,0.00687
16.39,0.00626
16.4,0.00578
16.41,0.00541
16.42,0.00514
16.43,0.00496
16.44,0.00488
16.45,0.00489
16.46,0.00504
16.47,0.00535
16.48,0.00593
16.49,0.00705
16.5,0.0097
16.51,0.01666
16.52,0.032
16.53,0.05467
16.54,0.06726
16.55,0.05486
16.56,0.04059
16.57,0.03824
