,MOF-230
4.74E-5,0.00708079397794747
4.76E-5,0.00708079397794747
4.78E-5,0.00394349397794747
4.8E-5,0.0117866939779475
4.82E-5,0.00708079397794747
4.84E-5,0.00237489397794743
4.86E-5,8.06193977947456E-4
4.88E-5,0.00551209397794744
4.9E-5,0.00394349397794747
4.92E-5,0.00551209397794744
4.94E-5,0.00237489397794743
4.96E-5,-7.62406022052575E-4
4.98E-5,0.00708079397794747
5E-5,0.00551209397794744
5.02E-5,0.00237489397794743
5.04E-5,8.06193977947456E-4
5.06E-5,0.00237489397794743
5.08E-5,0.00394349397794747
5.1E-5,0.00864939397794745
5.12E-5,8.06193977947456E-4
5.14E-5,-7.62406022052575E-4
5.16E-5,8.06193977947456E-4
5.18E-5,0.00551209397794744
5.2E-5,0.00394349397794747
5.22E-5,0.00864939397794745
5.24E-5,0.00708079397794747
5.26E-5,0.00237489397794743
5.28E-5,8.06193977947456E-4
5.3E-5,0.00237489397794743
5.32E-5,-7.62406022052575E-4
5.34E-5,0.0102179939779474
5.36E-5,0.00237489397794743
5.38E-5,8.06193977947456E-4
5.4E-5,0.00237489397794743
5.42E-5,0.00394349397794747
5.44E-5,0.00551209397794744
5.46E-5,0.00551209397794744
5.48E-5,0.00864939397794745
5.5E-5,0.00237489397794743
5.52E-5,0.00237489397794743
5.54E-5,0.00394349397794747
5.56E-5,8.06193977947456E-4
5.58E-5,0.00394349397794747
5.6E-5,0.00551209397794744
5.62E-5,0.00394349397794747
5.64E-5,-7.62406022052575E-4
5.66E-5,-0.00389960602205253
5.68E-5,-0.00546830602205256
5.7E-5,8.06193977947456E-4
5.72E-5,0.00708079397794747
5.74E-5,0.00394349397794747
5.76E-5,0.00551209397794744
5.78E-5,0.00237489397794743
5.8E-5,0.00237489397794743
5.82E-5,0.00237489397794743
5.84E-5,-0.00233100602205255
5.86E-5,0.00237489397794743
5.88E-5,-7.62406022052575E-4
5.9E-5,0.00237489397794743
5.92E-5,0.00237489397794743
5.94E-5,-0.00233100602205255
5.96E-5,-0.00233100602205255
5.98E-5,-7.62406022052575E-4
6E-5,-7.62406022052575E-4
6.02E-5,0.00394349397794747
6.04E-5,0.00708079397794747
6.06E-5,0.00708079397794747
6.08E-5,0.00237489397794743
6.1E-5,8.06193977947456E-4
6.12E-5,0.00864939397794745
6.14E-5,0.00237489397794743
6.16E-5,0.00237489397794743
6.18E-5,0.00394349397794747
6.2E-5,0.00394349397794747
6.22E-5,0.00551209397794744
6.24E-5,0.00237489397794743
6.26E-5,0.00237489397794743
6.28E-5,0.00237489397794743
6.3E-5,0.00551209397794744
6.32E-5,0.00551209397794744
6.34E-5,8.06193977947456E-4
6.36E-5,8.06193977947456E-4
6.38E-5,0.00551209397794744
6.4E-5,0.00237489397794743
6.42E-5,0.00237489397794743
6.44E-5,0.00394349397794747
6.46E-5,8.06193977947456E-4
6.48E-5,8.06193977947456E-4
6.5E-5,0.0102179939779474
6.52E-5,0.00394349397794747
6.54E-5,0.00237489397794743
6.56E-5,0.00708079397794747
6.58E-5,0.00394349397794747
6.6E-5,-7.62406022052575E-4
6.62E-5,-0.00233100602205255
6.64E-5,-0.00233100602205255
6.66E-5,-7.62406022052575E-4
6.68E-5,8.06193977947456E-4
6.7E-5,0.00394349397794747
6.72E-5,-0.00233100602205255
6.74E-5,0.00237489397794743
6.76E-5,0.00864939397794745
6.78E-5,0.00394349397794747
6.8E-5,0.00237489397794743
6.82E-5,8.06193977947456E-4
6.84E-5,8.06193977947456E-4
6.86E-5,0.00394349397794747
6.88E-5,0.00237489397794743
6.9E-5,0.00394349397794747
6.92E-5,0.00864939397794745
6.94E-5,0.00708079397794747
6.96E-5,-7.62406022052575E-4
6.98E-5,-0.00233100602205255
7E-5,8.06193977947456E-4
7.02E-5,0.00708079397794747
7.04E-5,-0.00233100602205255
7.06E-5,-0.00389960602205253
7.08E-5,-7.62406022052575E-4
7.1E-5,0.00394349397794747
7.12E-5,0.00551209397794744
7.14E-5,0.00237489397794743
7.16E-5,0.00394349397794747
7.18E-5,0.00708079397794747
7.2E-5,0.00551209397794744
7.22E-5,0.00551209397794744
7.24E-5,0.00708079397794747
7.26E-5,0.00708079397794747
7.28E-5,0.00551209397794744
7.3E-5,8.06193977947456E-4
7.32E-5,8.06193977947456E-4
7.34E-5,8.06193977947456E-4
7.36E-5,8.06193977947456E-4
7.38E-5,-7.62406022052575E-4
7.4E-5,0.00237489397794743
7.42E-5,0.00237489397794743
7.44E-5,0.00551209397794744
7.46E-5,0.00237489397794743
7.48E-5,8.06193977947456E-4
7.5E-5,8.06193977947456E-4
7.52E-5,0.00394349397794747
7.54E-5,0.00237489397794743
7.56E-5,0.00394349397794747
7.58E-5,0.00394349397794747
7.6E-5,0.00237489397794743
7.62E-5,0.00551209397794744
7.64E-5,8.06193977947456E-4
7.66E-5,0.00237489397794743
7.68E-5,0.00394349397794747
7.7E-5,0.00237489397794743
7.72E-5,8.06193977947456E-4
7.74E-5,-0.00389960602205253
7.76E-5,8.06193977947456E-4
7.78E-5,8.06193977947456E-4
7.8E-5,8.06193977947456E-4
7.82E-5,8.06193977947456E-4
7.84E-5,0.00237489397794743
7.86E-5,0.00237489397794743
7.88E-5,0.00394349397794747
7.9E-5,0.00394349397794747
7.92E-5,-7.62406022052575E-4
7.94E-5,0.00237489397794743
7.96E-5,0.00237489397794743
7.98E-5,0.00708079397794747
8E-5,0.00551209397794744
8.02E-5,0.00551209397794744
8.04E-5,0.00551209397794744
8.06E-5,0.00237489397794743
8.08E-5,0.00237489397794743
8.1E-5,0.00551209397794744
8.12E-5,0.00551209397794744
8.14E-5,0.00551209397794744
8.16E-5,0.00394349397794747
8.18E-5,0.00708079397794747
8.2E-5,0.00551209397794744
8.22E-5,0.00551209397794744
8.24E-5,0.00237489397794743
8.26E-5,0.00394349397794747
8.28E-5,0.00551209397794744
8.3E-5,0.00551209397794744
8.32E-5,0.00394349397794747
8.34E-5,0.00551209397794744
8.36E-5,0.00708079397794747
8.38E-5,0.0102179939779474
8.4E-5,0.00394349397794747
8.42E-5,0.00394349397794747
8.44E-5,0.00394349397794747
8.46E-5,8.06193977947456E-4
8.48E-5,0.00394349397794747
8.5E-5,0.00237489397794743
8.52E-5,0.00708079397794747
8.54E-5,0.00551209397794744
8.56E-5,0.00237489397794743
8.58E-5,0.00394349397794747
8.6E-5,0.00394349397794747
8.62E-5,8.06193977947456E-4
8.64E-5,-7.62406022052575E-4
8.66E-5,8.06193977947456E-4
8.68E-5,8.06193977947456E-4
8.7E-5,0.00237489397794743
8.72E-5,-7.62406022052575E-4
8.74E-5,0.00237489397794743
8.76E-5,0.00394349397794747
8.78E-5,0.00394349397794747
8.8E-5,8.06193977947456E-4
8.82E-5,0.00237489397794743
8.84E-5,0.00864939397794745
8.86E-5,0.00708079397794747
8.88E-5,0.00708079397794747
8.9E-5,0.00708079397794747
