No.,Pos. [°2Th.],Iobs [cts],Icalc [cts],Iback [cts],CT [s],ESD
1160,34.1439,295.3566, , ,195.2635,100.0534
1161,34.1699,183.6852, , ,195.2635,99.3496
1162,34.1959,82.7507, , ,195.2635,98.6952
1163,34.2219,-52.8383, , ,195.2635,97.8596
1164,34.2479,-34.6839, , ,195.2635,97.8058
1165,34.2739,20.1485, , ,195.2635,97.9395
1166,34.2999,-27.6615, , ,195.2635,97.5483
1167,34.3259,-22.7810, , ,195.2635,97.4263
1168,34.3519,-82.4213, , ,195.2635,96.9721
1169,34.3779,-146.5283, , ,195.2635,96.4925
1170,34.4039,0.7224, , ,195.2635,97.1050
1171,34.4299,58.6387, , ,195.2635,97.2555
1172,34.4559,-13.8228, , ,195.2635,96.7859
1173,34.4819,-15.0524, , ,195.2635,96.6831
1174,34.5079,16.4780, , ,195.2635,96.7496
1175,34.5339,-84.5334, , ,195.2635,96.1291
1176,34.5599,-123.5379, , ,195.2635,95.8286
1177,34.5859,-70.8492, , ,195.2635,96.0060
1178,34.6119,-92.3120, , ,195.2635,95.7968
1179,34.6379,-26.5391, , ,195.2635,96.0423
1180,34.6639,62.2238, , ,195.2635,96.4066
1181,34.6899,20.7502, , ,195.2635,96.1785
1182,34.7159,-77.4407, , ,195.2635,95.6539
1183,34.7419,-64.6569, , ,195.2635,95.7079
1184,34.7679,15.5189, , ,195.2635,96.1132
1185,34.7939,34.1116, , ,195.2635,96.1971
1186,34.8199,-8.3529, , ,195.2635,95.9634
1187,34.8459,-92.4792, , ,195.2635,95.5113
1188,34.8719,-45.4119, , ,195.2635,95.7446
1189,34.8979,-15.4455, , ,195.2635,95.8882
1190,34.9239,85.2963, , ,195.2635,96.4663
1191,34.9499,77.6704, , ,195.2635,96.4809
1192,34.9759,99.4323, , ,195.2635,96.6476
1193,35.0019,87.8239, , ,195.2635,96.6416
1194,35.0279,215.0755, , ,195.2635,97.3514
1195,35.0539,251.0824, , ,195.2635,97.5897
1196,35.0799,70.3354, , ,195.2635,96.7132
1197,35.1059,40.1972, , ,195.2635,96.6113
1198,35.1319,-92.0770, , ,195.2635,95.9788
1199,35.1579,101.4914, , ,195.2635,96.9292
1200,35.1839,-89.8404, , ,195.2635,95.8839
1201,35.2099,-109.3027, , ,195.2635,95.7289
1202,35.2359,-78.5225, , ,195.2635,95.8363
1203,35.2619,-35.4183, , ,195.2635,96.0077
1204,35.2879,29.4607, , ,195.2635,96.2919
1205,35.3139,-8.8476, , ,195.2635,96.0396
1206,35.3399,66.8939, , ,195.2635,96.3801
1207,35.3659,-59.6973, , ,195.2635,95.6677
1208,35.3919,-44.4547, , ,195.2635,95.6945
1209,35.4179,59.4856, , ,195.2635,96.1835
1210,35.4439,-53.9760, , ,195.2635,95.5389
1211,35.4699,-180.6008, , ,195.2635,94.8206
1212,35.4959,-27.1003, , ,195.2635,95.5738
1213,35.5219,-15.7375, , ,195.2635,95.5803
1214,35.5479,6.7774, , ,195.2635,95.6452
1215,35.5739,46.8319, , ,195.2635,95.8016
1216,35.5999,150.8044, , ,195.2635,96.2902
1217,35.6259,123.2762, , ,195.2635,96.0946
1218,35.6519,170.0231, , ,195.2635,96.2850
1219,35.6779,90.8954, , ,195.2635,95.8205
1220,35.7039,85.9459, , ,195.2635,95.7418
1221,35.7299,7.5939, , ,195.2635,95.2787
1222,35.7559,70.1176, , ,195.2635,95.5534
1223,35.7819,-23.7002, , ,195.2635,95.0080
1224,35.8079,-35.7535, , ,195.2635,94.8913
1225,35.8339,62.2431, , ,195.2635,95.3533
1226,35.8599,20.9383, , ,195.2635,94.9189
1227,35.8859,-22.7534, , ,195.2635,94.4700
1228,35.9119,-11.1428, , ,195.2635,94.3126
1229,35.9379,47.2108, , ,195.2635,94.4027
1230,35.9639,81.1989, , ,195.2635,94.3638
1231,35.9899,103.9704, , ,195.2635,94.2654
1232,36.0159,59.7089, , ,195.2635,93.8103
1233,36.0419,19.7025, , ,195.2635,93.3758
1234,36.0679,-7.9597, , ,195.2635,93.0056
1235,36.0939,-75.1900, , ,195.2635,92.6710
1236,36.1199,18.3014, , ,195.2635,93.2015
1237,36.1459,-67.0785, , ,195.2635,92.7699
1238,36.1719,-12.2634, , ,195.2635,93.0923
1239,36.1979,6.7811, , ,195.2635,93.2220
1240,36.2239,-29.1407, , ,195.2635,93.0566
1241,36.2499,39.3124, , ,195.2635,93.4510
