A,Perileno,Pyn,PynMOF,Peaks
3,631.36,92.5605,74.6649,82.5591,
3,630.43,92.3076,74.8564,82.7878,
3,629.5,92.8205,75.2672,83.0222,
3,628.56,93.0491,75.5195,83.2083,
3,627.63,93.2661,75.7901,83.4268,
3,626.7,93.4074,75.9165,83.5789,
3,625.77,93.5385,75.9748,83.6549,
3,624.84,93.718,75.9523,83.6933,
3,623.9,93.9827,75.9016,83.608,
3,622.97,93.7918,75.5823,83.2234,
3,622.04,93.2402,75.3363,83.0782,
3,621.11,92.98,75.2878,82.9949,
3,620.18,92.7481,75.2063,82.9681,
3,619.25,93.1844,75.4896,83.2234,
3,618.31,93.5029,75.6528,83.2443,
3,617.38,93.3754,75.5775,83.2586,
3,616.45,93.5961,75.5678,83.133,
3,615.52,93.2407,75.3484,82.8464,
3,614.59,92.9517,75.3221,83.0457,
3,613.65,93.6083,75.6015,83.3299,
3,612.72,93.8295,75.5272,83.0593,
3,611.79,93.1812,75.2766,82.9443,
3,610.86,93.2206,75.3003,82.9714,
3,609.93,93.1424,75.1369,82.8381,
3,608.99,93.0019,75.2105,82.991,
3,608.06,93.258,75.4642,83.162,
3,607.13,93.4364,75.5836,83.2663,
3,606.2,93.488,75.5784,83.2774,
3,605.27,93.5688,75.5841,83.2377,
3,604.34,93.5743,75.5093,83.1243,
3,603.4,93.4046,75.3473,83.0727,
3,602.47,93.4707,75.3327,83.0599,
3,601.54,93.4069,75.3271,83.0555,
3,600.61,93.3579,75.3545,83.0684,
3,599.68,93.6153,75.4486,83.0371,
3,598.74,93.5078,75.3268,82.8717,
3,597.81,93.2599,75.1863,82.8131,
3,596.88,93.3586,75.2009,82.7984,
3,595.95,93.1667,75.1187,82.7299,
3,595.02,93.1567,75.2096,82.816,
3,594.09,93.3989,75.374,82.9849,
3,593.15,93.6986,75.5073,83.1122,
3,592.22,93.8299,75.4121,82.8482,
3,591.29,93.4901,75.1241,82.6259,
3,590.36,93.3724,75.0071,82.4827,
3,589.43,92.9299,74.7197,82.3063,
3,588.49,92.7649,74.7668,82.4741,
3,587.56,93.1647,75.0537,82.6082,
3,586.63,93.313,75.2302,82.7028,
3,585.7,93.3431,75.2965,82.819,
3,584.77,93.4527,75.3489,82.9121,
3,583.84,93.5495,75.35,82.8924,
3,582.9,93.477,75.2595,82.815,
3,581.97,93.3956,75.2596,82.7965,
3,581.04,93.4553,75.285,82.7997,
