nm	XPyn	Pyn	XPynMOF	PynMOF
592	105.1	0.0216027160282421	106.9	0.028977705208778
591	105.3	0.0224283711854865	106.9	0.028977705208778
590	105.8	0.0244856676991669	107.6	0.0318122713303703
589	105.7	0.0240749873074263	107.6	0.0318122713303703
588	105.9	0.0248959601074851	107.6	0.0318122713303703
587	106.7	0.0281644194244699	108	0.0334237554869497
586	106.5	0.0273496077747565	107.5	0.0314084642516241
585	106.6	0.0277572046905534	107.6	0.0318122713303703
584	106.9	0.028977705208778	107.9	0.0330214446829108
583	108.5	0.0354297381845483	109.6	0.0398105541483503
582	108.4	0.0350292822023682	109.2	0.0382226383687185
581	108.3	0.0346284566253203	108.9	0.037027879755775
580	109	0.0374264979406236	109.3	0.0386201619497028
579	109.5	0.0394141191761372	109.9	0.0409976924234906
578	110.6	0.0437551269686794	110.7	0.0441476208787228
577	110.9	0.0449315461491601	110.8	0.0445397603924109
576	111.2	0.0461047872460387	110.8	0.0445397603924109
575	111.9	0.0488300865283501	111.5	0.0472748673841795
574	112.6	0.0515383905153274	111.5	0.0472748673841795
573	113.5	0.0549958615291415	112	0.0492180226701816
572	114.6	0.0591846176313711	112.6	0.0515383905153274
571	114.6	0.0591846176313711	112.3	0.0503797562614578
570	115.7	0.0633333589517496	112.9	0.0526939419249679
569	116.8	0.0674428427763807	113.7	0.0557604646877348
568	117.5	0.0700378666077551	114.2	0.0576661039098293
567	117.7	0.0707764628434347	114.1	0.0572856444182146
566	118.8	0.0748164406451747	114.5	0.0588054866759068
565	119.7	0.0780941504064107	115.1	0.0610753236297918
564	120.3	0.0802656273398447	115.2	0.0614524790871933
563	120.8	0.082066934285113	115	0.0606978403536117
562	121.9	0.086003705618382	115.3	0.061829307294699
561	122.5	0.0881360887005513	115.5	0.0625819842281631
560	122.9	0.0895518828864541	115.9	0.064083435963596
559	124.3	0.0944711286416448	116.3	0.0655797147284484
558	125.2	0.0976043288744109	117	0.0681858617461617
557	125.9	0.100025730107863	117.1	0.068556895072363
556	126.1	0.100715086573082	116.9	0.0678145111618401
555	125.9	0.100025730107863	116.7	0.0670708560453702
554	127	0.103803720955957	117.1	0.068556895072363
553	126.3	0.101403350555331	116.6	0.0666985504229952
552	127.3	0.104828403653655	117.1	0.068556895072363
551	127.3	0.104828403653655	117.1	0.068556895072363
550	127.1	0.104145550554008	116.7	0.0670708560453702
549	127.3	0.104828403653655	116.4	0.0659529803138697
548	126.9	0.103461622094705	116.3	0.0655797147284484
547	126.9	0.103461622094705	116.4	0.0659529803138697
546	126.5	0.102090525511837	116.4	0.0659529803138697
545	125.5	0.098643725817057	115.6	0.0629578340845102
544	125.7	0.0993352776859578	116	0.0644579892269185
543	125.1	0.0972573096934199	115.8	0.0637085593914174
542	124.7	0.0958664534785426	115.2	0.0614524790871933
541	124.4	0.0948203803547999	115.5	0.0625819842281631
540	123.8	0.0927206446840991	115.4	0.0622058088197127
539	124.3	0.0944711286416448	115.5	0.0625819842281631
538	124.2	0.0941215958405614	115.5	0.0625819842281631
537	124.5	0.0951693514317551	116.4	0.0659529803138697
536	124.1	0.0937717814987298	116	0.0644579892269185
535	125.3	0.09795107099415	116.4	0.0659529803138697
534	125.2	0.0976043288744109	116.6	0.0666985504229952
533	125.6	0.0989896394011773	116.7	0.0670708560453702
532	125.9	0.100025730107863	116.9	0.0678145111618401
531	126	0.100370545117563	117.4	0.0696680969115957
530	126.9	0.103461622094705	118.3	0.0729847446279304
529	127.4	0.105169427999332	118	0.0718820073061254
528	128.2	0.107888025182799	117.9	0.0715138050950892
527	129	0.110589710299249	118.9	0.0751818546186916
526	129.8	0.11327469246435	119.5	0.0773679052841565
525	130.9	0.116939646550756	119.5	0.0773679052841565
524	131.1	0.117602691690084	119.5	0.0773679052841565
523	132.4	0.121887985103681	119.7	0.0780941504064107
522	132.8	0.123198075031999	120.5	0.0809870469108872
521	134.3	0.128076012668715	120.5	0.0809870469108872
520	135.3	0.131297796597623	121.5	0.084576277934331
519	136	0.133538908370217	121.3	0.0838608008665729
518	136.9	0.13640344813399	120.7	0.0817072700973492
517	137.9	0.13956426617585	121.2	0.0835026198302674
516	138.8	0.142389466118836	121.6	0.0849335749367161
515	139.7	0.145196406114182	121	0.0827853703164501
514	140.4	0.147367107793786	121.7	0.085290578230065
513	140.9	0.148910993109356	121.6	0.0849335749367161
512	141.6	0.15106325335375	121.2	0.0835026198302674
511	142.7	0.154423973114647	121.7	0.085290578230065
510	143.3	0.156246190397344	122	0.0863598306747482
509	144.3	0.159266331093494	121.9	0.086003705618382
508	145	0.161368002234975	121.8	0.0856472882968566
