Labels,MOF230 DMSO Ar 420 nm 400 us Delta OD,
Type,LP Time Scan,
Comment,,
Start,0.00,
Stop,399960.0000,
Step,40.00,
Fixed/Offset, ,
XAxis,Time,
YAxis,Delta OD,

18440.000,8.00653128E-4,
18480.000,-1.83084179E-4,
18520.000,-9.19194426E-4,
18560.000,5.54820930E-4,
1.86E04,-4.28391126E-4,
18640.000,-1.41173054E-3,
18680.000,1.04753952E-3,
18720.000,5.55066217E-4,
18760.000,-2.89053028E-3,
1.88E04,6.35505639E-5,
18840.000,-9.13707132E-4,
18880.000,1.04561937E-3,
18920.000,1.04533718E-3,
18960.000,1.29359844E-3,
1.9E04,3.25830886E-3,
19040.000,8.00509064E-4,
19080.000,3.09415453E-4,
19120.000,2.51701381E-3,
19160.000,-1.82332340E-4,
1.92E04,-1.16725848E-3,
19240.000,1.29264186E-3,
19280.000,1.04505522E-3,
19320.000,-4.28354484E-4,
19360.000,-1.65813498E-3,
1.94E04,5.54862549E-4,
19440.000,6.16517500E-5,
19480.000,5.54784376E-4,
19520.000,2.27528019E-3,
19560.000,-1.65092840E-3,
1.96E04,6.42216473E-5,
19640.000,-1.90336537E-3,
19680.000,-1.89659896E-3,
19720.000,-9.20854043E-4,
19760.000,3.74792237E-3,
1.98E04,3.75165837E-3,
19840.000,1.53533649E-3,
19880.000,-1.89928641E-3,
19920.000,1.78522512E-3,
19960.000,-2.87153060E-3,
2E04,3.24427336E-3,
20040.000,1.29077164E-3,
20080.000,1.28810969E-3,
20120.000,-9.15244455E-4,
20160.000,-6.71253598E-4,
2.02E04,-1.65571505E-3,
20240.000,-1.16256555E-3,
20280.000,-1.40635169E-3,
20320.000,5.54940838E-4,
20360.000,-9.10570205E-4,
2.04E04,-2.14697002E-3,
20440.000,5.54982573E-4,
20480.000,-6.75244257E-4,
20520.000,6.42216473E-5,
20560.000,1.28947501E-3,
2.06E04,2.51701381E-3,
20640.000,-1.64848822E-3,
20680.000,-2.39337469E-3,
20720.000,5.95084019E-3,
20760.000,-1.66056037E-3,
2.08E04,3.99259571E-3,
20840.000,-9.16858437E-4,
20880.000,-6.72629511E-4,
20920.000,-1.40848500E-3,
20960.000,-2.14548456E-3,
2.1E04,-1.16539269E-3,
21040.000,2.03163479E-3,
21080.000,-4.29385429E-4,
21120.000,-2.39182240E-3,
21160.000,1.29122927E-3,
2.12E04,-3.60683724E-3,
21240.000,-9.17648314E-4,
21280.000,4.00454830E-3,
21320.000,8.00726353E-4,
21360.000,-1.81618816E-4,
2.14E04,-6.71216985E-4,
21440.000,6.22923762E-5,
21480.000,-4.27876541E-4,
21520.000,-2.14396417E-3,
21560.000,2.76936521E-3,
2.16E04,-1.65567861E-3,
21640.000,3.08733433E-4,
21680.000,-1.81582203E-4,
21720.000,-9.19987157E-4,
21760.000,5.55024366E-4,
2.18E04,-6.69953646E-4,
21840.000,5.54940838E-4,
21880.000,-1.65326416E-3,
21920.000,3.09197058E-4,
21960.000,1.54008134E-3,
2.2E04,3.09742609E-4,
22040.000,2.77196057E-3,
22080.000,-9.20060498E-4,
22120.000,-1.83837721E-4,
22160.000,5.54982573E-4,
2.22E04,-6.71290094E-4,
22240.000,-1.90063240E-3,
22280.000,3.00753838E-3,
22320.000,1.04438292E-3,
22360.000,2.76290183E-3,
2.24E04,-1.65692437E-3,
22440.000,5.55029546E-4,
22480.000,3.74799548E-3,
22520.000,1.04441948E-3,
22560.000,-6.71253598E-4,
2.26E04,7.99788337E-4,
22640.000,8.00328562E-4,
22680.000,-4.24254307E-4,
22720.000,-1.90332881E-3,
22760.000,3.09875730E-4,
2.28E04,4.24991222E-3,
22840.000,5.54987695E-4,
22880.000,-1.65696093E-3,
22920.000,-1.16729503E-3,
22960.000,3.09645868E-4,
2.3E04,-1.66048703E-3,
23040.000,-1.65575184E-3,
23080.000,3.09294352E-4,
23120.000,2.26917258E-3,
23160.000,2.51816423E-3,
2.32E04,-9.17648314E-4,
23240.000,-2.14400073E-3,
23280.000,5.54820930E-4,
23320.000,3.09452007E-4,
23360.000,-1.82332340E-4,
2.34E04,-4.11717501E-3,
23440.000,1.78297597E-3,
23480.000,5.54820930E-4,
23520.000,-1.80496776E-4,
23560.000,6.30774666E-5,
2.36E04,-2.14248197E-3,
23640.000,-6.74552808E-4,
23680.000,1.54064537E-3,
23720.000,-1.90745853E-3,
23760.000,-1.16438826E-3,
2.38E04,5.55034669E-4,
23840.000,5.54820930E-4,
