LAMBDA	EM PYN	EM PYNMOF	Pyn N	PynMOF N
526	1469902.43776383	119343.114602951	0.868983174743461	0.723895143734852
527	1456292.94777955	126919.362975567	0.860927641110897	0.770144827210892
528	1447737.25561222	133084.967134477	0.855863478818008	0.807783144589555
529	1435135.54956705	139620.802909767	0.848404458164643	0.847681564096376
530	1419727.07819521	144872.05256418	0.83928409733513	0.879738147041582
531	1406198.08542368	150584.821361669	0.831276210455341	0.914612102548459
532	1386616.40458724	154385.004419227	0.819685703482464	0.937810558422516
533	1370992.98429596	158110.362834938	0.810438113179118	0.960552242576402
534	1351170.23503626	161359.059184129	0.798704916451259	0.980384113242485
535	1331809.0647145	163432.753027836	0.787244930891706	0.993043107401691
536	1311426.5839311	163760.383413847	0.775180425928231	0.995043147646535
537	1290290.27885641	164572.374799598	0.762669728128829	1
538	1269988.47711777	164316.773151679	0.750652977545512	0.998439663705466
539	1251711.28592587	164272.498148497	0.739834605326921	0.998169384171006
540	1228749.68672088	162799.595235835	0.726243505670217	0.989177955940147
541	1208877.83732672	160532.130931255	0.714481246296736	0.975336077846619
542	1188821.30812026	158066.347552626	0.702609673904107	0.96028354852429
543	1169164.84591918	156065.592432715	0.690974903421091	0.948069813380208
544	1149991.96841208	153252.90929685	0.67962636943709	0.930899612727554
545	1130215.13188879	150047.010553977	0.66792034871603	0.911329002734087
546	1113511.39040196	146930.569919859	0.658033310223611	0.892304495377546
547	1097101.37583826	144181.674783338	0.648320130348283	0.875523692568542
548	1080714.40006199	140356.008455184	0.638620587260758	0.852169672470469
549	1063921.43080371	138238.042437661	0.628680734348788	0.839240416048851
550	1048473.40342571	135300.686458533	0.619536960096851	0.821309142203326
551	1034225.45416324	131763.782238187	0.611103518828187	0.799717888507459
552	1018897.21884869	128775.457217249	0.602030650172065	0.781475470948731
553	1002969.49783778	124749.331004061	0.592602942562033	0.756897730906895
554	991030.186800068	122657.945065451	0.58553599723748	0.744130734244461
555	976526.452273302	120827.315334494	0.576951155232887	0.732955540209828
556	962523.267212905	118058.064306929	0.568662591271465	0.716050473586943
557	947950.000198478	116274.033506797	0.560036592596522	0.70515974564885
558	934595.715798348	113249.743811343	0.552132116583951	0.686697779478346
559	921537.148808413	111347.111356972	0.544402677368961	0.675083040301639
560	905776.303547866	110171.09953584	0.535073744453722	0.667904002364069
561	891950.641236978	108321.063558033	0.526890257205745	0.656610341678115
562	876321.620288507	107237.947600968	0.517639351841923	0.649998392370441
563	862038.316953048	106191.789500634	0.509184984298702	0.643612054617678
564	845881.949161208	104540.76621309	0.499621939373611	0.633533279384218
565	829818.282947639	104486.500299353	0.490113765033856	0.633202009709512
566	813343.022716425	103712.312150436	0.480361965881127	0.628475929586829
567	797934.973228414	103097.915621461	0.471241854767026	0.624725307432391
568	781953.755526238	101991.887078026	0.46178248216468	0.61797348680383
569	764670.477755076	101949.575757985	0.451552412887481	0.617715194696301
570	748823.750125743	101108.102561785	0.442172645715337	0.612578368781449
571	731199.603931023	100909.904494113	0.431740814501914	0.611368456243661
572	715356.527116491	99212.6072879088	0.422363208267575	0.60100719897081
573	697814.822365665	99722.5104691905	0.411980174608269	0.604119934929011
574	679390.540128311	98224.5591249223	0.401074738372944	0.594975596976032
575	663466.632260501	97438.5072336742	0.391649287783748	0.590177093894036
576	646154.125254277	96641.3940034357	0.381401917557993	0.585311066174256
577	628236.78523175	95627.0112261187	0.370796543269591	0.579118702874232
578	613654.944154448	94636.935281003	0.36216546955863	0.573074722156236
579	596951.135969447	92619.6772263036	0.352278391587185	0.560760243811446
580	581098.194565583	91723.8035737545	0.342894946446964	0.555291326898073
581	565337.592801866	90173.229031046	0.333566157658867	0.545825747328971
582	547898.635048411	89181.1293453517	0.323243940524935	0.539769412559657
583	532203.910709019	86932.6784923125	0.313954144954651	0.526043603273844
584	516657.22194209	85088.6876377992	0.304751972471946	0.514786845422266
585	501986.408738546	83061.0752209037	0.296068235659272	0.502409158223884
586	488507.470170223	81627.8185509464	0.288089976143757	0.493659752968766
587	474195.226241405	79835.4405819128	0.279618478500626	0.482718069214462
588	461090.544012595	77273.9895425856	0.271861743416491	0.467081530655822
589	448066.310089514	75593.958101103	0.264152626136789	0.456825673326857
590	434803.267773851	73368.118370978	0.256302156826965	0.443237895059349
591	422034.411784004	72023.6224986065	0.248744199181647	0.435030335661379
592	409730.911095661	69538.4441188229	0.241461687955459	0.419859408337783
593	398216.145720473	67200.3535697971	0.234646033595299	0.405586387904397
594	386880.818838739	65660.3272663435	0.227936589888196	0.396185200723557
595	375423.631040218	63540.1560629438	0.22115501601936	0.383242482606413
596	365251.846480405	61922.2272227682	0.215134279553892	0.373365734503046
597	354338.917510934	59695.948319492	0.208674855545726	0.359775275275486
598	344780.449810044	57662.62249382	0.203017144777047	0.347362710214805
599	334258.978199441	56308.2752302548	0.19678942658032	0.33909501238128
600	324547.830796691	53903.984397695	0.191041343837764	0.324417868164078
601	315200.539694681	52599.4870614691	0.18550862968517	0.316454482339261
602	305478.194466033	51056.884698918	0.179753918886512	0.307037569444055
603	296591.352641488	49011.6638567665	0.174493747249839	0.294552390509058
604	288608.531426947	47297.7297884699	0.169768670494519	0.284089572467872
605	279303.648705526	46452.9857739853	0.164261058100811	0.27893277963761
606	270628.665579962	45089.8179407672	0.159126286819108	0.270611236083292
607	262718.558826833	43059.3464305935	0.15444425016229	0.258216095370632
608	254064.394843215	42065.6477096997	0.149321801847748	0.252149999190629
609	246568.21635502	40515.404177258	0.144884771657997	0.242686440294467
610	239998.165572796	39728.4822503554	0.140995921663987	0.237882626025238
611	231561.536846461	38114.0874872381	0.136002233691186	0.228027451916979
612	223610.520007871	36867.6345579573	0.131295982124792	0.220418401815694
613	217119.187349579	36000.6945344744	0.127453725830881	0.215126112056066
614	209981.58208608	34849.306382477	0.123228937148682	0.208097390851465
615	202650.841902086	33459.8283022558	0.118889830821262	0.19961523474378
616	195954.184310513	32884.4551471053	0.11492604154503	0.196102833222929
617	189391.406286766	31978.4431554591	0.111041496337648	0.190572026182523
618	182876.253397024	31224.4848898221	0.107185140714827	0.185969440651419
619	177831.067810249	30031.0452616911	0.104198867002605	0.178684013572719
620	170958.858839301	29488.372357222	0.100131167877993	0.175371232783558
621	165173.62161955	28640.351463079	0.096706853443735	0.170194436035851
622	158912.673309938	27817.8858312211	0.0930009629409992	0.165173642989937
623	153997.803626887	27176.4045573739	0.0900918239448121	0.161257680311301
624	148806.25900418	26358.1516033408	0.0870189194964104	0.156262603821445
