EM wavelength,EX wavelength,A1c/R1c
715,565,35615.00877
720,565,32089.11654
725,565,25577.95182
730,565,18630.18614
735,565,13557.60101
740,565,10124.54107
745,565,7794.78565
750,565,6002.05974
630,570,9704.34126
635,570,19566.54537
640,570,46426.72269
645,570,83865.58046
650,570,97323.24399
655,570,87457.57231
660,570,70607.8955
665,570,54124.18819
670,570,40375.77162
675,570,31152.86078
680,570,26067.30985
685,570,23208.86964
690,570,21510.03407
695,570,20735.98899
700,570,22878.29541
705,570,25737.91971
710,570,28123.38125
715,570,28340.36416
720,570,25497.21496
725,570,20092.66457
730,570,14876.0223
735,570,10892.17263
740,570,8189.13795
745,570,6433.83989
750,570,4835.46985
630,575,10586.86465
635,575,21823.48143
640,575,53428.89196
645,575,96873.93516
650,575,112044.62752
655,575,99809.01335
660,575,79733.93133
665,575,59986.35708
670,575,43963.568
675,575,34122.66301
680,575,28113.92552
685,575,25336.00511
690,575,23163.25338
695,575,23492.04034
700,575,26400.31086
705,575,29088.99361
710,575,31358.70645
715,575,31967.09581
720,575,28861.91467
725,575,22477.79507
730,575,16647.93951
735,575,11830.22244
740,575,8762.13998
745,575,6578.44245
750,575,5313.9621
630,580,12793.8816
635,580,30084.90865
640,580,77245.86999
645,580,141668.2662
650,580,161377.03217
655,580,141271.53042
660,580,112237.93337
665,580,83688.89616
670,580,61240.57084
675,580,46426.40736
680,580,38909.00265
